Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,LG 1 Point 5 Ton 5 Star Cold AC,LG 1 Point 5 Ton 5 Star Cold AC,3,pieces,est_2c,10
2,Extra Coper Pipe and Outdoor Stand for AC If Reqd and Installation,Extra Coper Pipe and Outdoor Stand for AC If Reqd and Installation,3,set,est_2c,10
3,Appt SS Honor Bd and SS Plate,Appt SS Honor Bd and SS Plate,2,pieces,est_2c,10
4,High Back Chair with Lumber Support with superior quality,High Back Chair with Lumber Support with superior quality,1,pieces,est_2c,10
5,Revolving Computer Chair with Back Support,Revolving Computer Chair with Back Support,16,pieces,est_2c,10
