Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
61,Panel Box Repair Make Kirloskar,Panel Box Repair Make Kirloskar,1,Nos,21ER_CONSIGNEE2,45
62,Alternator Winding 62 point 5KVA Make Kirloskar,Alternator Winding 62 point 5KVA Make Kirloskar,1,Nos,21ER_CONSIGNEE2,45
63,Router Winding 62 point 5KVA Make Kirloskar,Router Winding 62 point 5KVA Make Kirloskar,1,Nos,21ER_CONSIGNEE2,45
64,Excider Winding 62 point 5KVA Make Kirloskar,Excider Winding 62 point 5KVA Make Kirloskar,1,Nos,21ER_CONSIGNEE2,45
65,AVR Card Make Kirloskar,AVR Card Make Kirloskar,4,Nos,21ER_CONSIGNEE2,45
66,Diode Make Kirloskar,Diode Make Kirloskar,6,Nos,21ER_CONSIGNEE2,45
67,Starter Motor Repair  Make Kirloskar,Starter Motor Repair  Make Kirloskar,2,Nos,21ER_CONSIGNEE2,45
68,Flywheel Ring Gear Make Kirloskar,Flywheel Ring Gear Make Kirloskar,4,Nos,21ER_CONSIGNEE2,45
69,Fuel pipe Make Kirloskar,Fuel pipe Make Kirloskar,1,Nos,21ER_CONSIGNEE2,45
70,Alternator Winding 30KVA Make Kirloskar,Alternator Winding 30KVA Make Kirloskar,1,Nos,21ER_CONSIGNEE2,45
71,Rotor Winding 30KVA Make Kirloskar,Rotor Winding 30KVA Make Kirloskar,1,Nos,21ER_CONSIGNEE2,45
72,Exciter Winding 30KVA Make Kirloskar,Exciter Winding 30KVA Make Kirloskar,1,Nos,21ER_CONSIGNEE2,45
73,Change over switch 100Amp,Change over switch 100Amp,4,Nos,21ER_CONSIGNEE2,45
74,Submersible Pump Rewinding,Submersible Pump Rewinding,1,Nos,21ER_CONSIGNEE2,45
75,Change over switch 64Amp,Change over switch 64Amp,11,Nos,21ER_CONSIGNEE2,45
