Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Safety Gear Chest and Back Protector,As per specification,4,Nos,seven@7jakrif,180
2,Consumables Caliber Paintball,As per specification,1,Box,seven@7jakrif,180
3,Sports Goods Dual Valve Fill Station,As per specification,1,Nos,seven@7jakrif,180
4,Target paperNRA,As per specification,500,Nos,seven@7jakrif,180
5,Target Frame Fig 11,As per specification,25,Nos,seven@7jakrif,180
6,Bamboo 12 Feet,As per specification,500,Nos,seven@7jakrif,180
7,Target Paper Fig 1x1,As per specification,200,Nos,seven@7jakrif,180
8,Target Frame Fig 1x1,As per specification,25,Nos,seven@7jakrif,180
9,Paint OG,As per specification,30,Ltrs,seven@7jakrif,180
