Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Desktop PC,Desktop PC,2,pieces,vishalsingh351,10
2,TV 86inch,TV 86inch,3,pieces,vishalsingh351,10
3,Rugged Laptop,Rugged Laptop,2,pieces,vishalsingh351,10
4,Interactive e podium,Interactive e podium,2,pieces,vishalsingh351,10
5,biometric acces controll system,biometric acces controll system,1,pieces,vishalsingh351,10
6,Schedular display,Schedular display,1,pieces,vishalsingh351,10
7,audio system ,audio system ,1,pieces,vishalsingh351,10
8,display controller,display controller,1,pieces,vishalsingh351,10
