Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
91,"Propranolol TR 40 mg, Tab","Propranolol TR 40 mg, Tab",3870,No,5AFHECHS@MEDSTORE,20
92,Tab Ivabradine 5 mg ,Tab Ivabradine 5 mg ,660,No,5AFHECHS@MEDSTORE,20
93,Tab Metoprolol XL 25 Mg,Tab Metoprolol XL 25 Mg,9960,No,5AFHECHS@MEDSTORE,20
94,Aspirin 75 mg Tab,Aspirin 75 mg Tab,45420,No,5AFHECHS@MEDSTORE,20
95,Clopidogrel 75 mg Tab,Clopidogrel 75 mg Tab,10620,No,5AFHECHS@MEDSTORE,20
96,Tab Telmisartan 40 mg with Amlodepine 10 mg,Tab Telmisartan 40 mg with Amlodepine 10 mg,3000,No,5AFHECHS@MEDSTORE,20
97,Amlodipine Besylate 5 mg Tab,Amlodipine Besylate 5 mg Tab,32580,No,5AFHECHS@MEDSTORE,20
98,Metoprolol  Extended release 50mg,Metoprolol  Extended release 50mg,19410,No,5AFHECHS@MEDSTORE,20
99,Atenolol 50mg with Amlodipine 5 mg Tab,Atenolol 50mg with Amlodipine 5 mg Tab,13230,No,5AFHECHS@MEDSTORE,20
100,Hydrochlorothiazide 25mg,Hydrochlorothiazide 25mg,9534,No,5AFHECHS@MEDSTORE,20
