Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Door Curtain Size 4x7 feet  Heavy Duty ISI Marked,Door Curtain Size 4x7 feet  Heavy Duty ISI Marked,2,Nos,offgbsoutarlai,60
2,6 Strips curtain for Window size 3x4 feet Heavy Duty ISI Marked,6 Strips curtain for Window size 3x4 feet Heavy Duty ISI Marked,2,Nos,offgbsoutarlai,60
3,Cotton White Microfiber Bath Towel Size 60 inch x 30 inch Heavy Duty ISI Marked,Cotton White Microfiber Bath Towel Size 60 inch x 30 inch Heavy Duty ISI Marked,3,Nos,offgbsoutarlai,60
4,PVC Water Absorbing Foot Mat size 18X30 Inch Heavy Duty ISI Marked,PVC Water Absorbing Foot Mat size 18X30 Inch Heavy Duty ISI Marked,3,Nos,offgbsoutarlai,60
5,Plastic Mug for Bathroom Heavy Duty ISI Marked,Plastic Mug for Bathroom Heavy Duty ISI Marked,3,Nos,offgbsoutarlai,60
6,Supply of smart care roof guard high performance elastomeric water based reflective roof coating specially designed for full roof application to reduce surface As per ATC,Supply of smart care roof guard high performance elastomeric water based reflective roof coating specially designed for full roof application to reduce surface As per ATC,1000,Ltrs,offgbsoutarlai,60
7,"Maintenance and servicing of installed lift in reliable safe and efficient operation condition by examining, lubricating and adjusting the equipments and carry out as per ATC","Maintenance and servicing of installed lift in reliable safe and efficient operation condition by examining, lubricating and adjusting the equipments and carry out as per ATC",1,Each Job,offgbsoutarlai,60
