Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,UHP Argon,UHP Argon as per attached  sheet,360,CYL,STRIND03,315
2,Commercial Nitrogen ,Commercial Nitrogen  as per attached  sheet,270,CYL,STRIND03,315
3,UHP Oxygen,UHP Oxygen  as per attached  sheet,25,CYL,STRIND03,315
4,Commercial Oxygen,Commercial Oxygen  as per attached  sheet,108,CYL,STRIND03,315
5,UHP Nitrogen,UHP Nitrogen  as per attached  sheet,216,CYL,STRIND03,315
6,Corbon Dioxide ,Corbon Dioxide  as per attached  sheet ,50,CYL,STRIND03,315
7,DA Cylinder,DA Cylinder  as per attached  sheet,8,CYL,STRIND03,315
