Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
100,Rubber Stoppers Two Hole No 9BDiam 215mm,Rubber Stoppers Two Hole No 9BDiam 215mm,12,pieces,so_pur_var,15
101,Rubber StoppersTwo Hole No5,Rubber StoppersTwo Hole No5,12,pieces,so_pur_var,15
102,Screw Cap Centrifuge Tube Capacity 50ml,Screw Cap Centrifuge Tube Capacity 50ml,1,pieces,so_pur_var,15
103,Screw Gauge,Screw Gauge,1,pieces,so_pur_var,15
104,Sealing Wax chapdq red ,Sealing Wax chapdq red ,12,pieces,so_pur_var,15
105,Separating Funnel Holder,Separating Funnel Holder,12,pieces,so_pur_var,15
106,Shoe covers,Shoe covers,12,pieces,so_pur_var,15
107,SHOVE COVER,SHOVE COVER,8,pieces,so_pur_var,15
108,Silica Crucible,Silica Crucible,4,pieces,so_pur_var,15
109,Sliding Caliper,Sliding Caliper,1,pieces,so_pur_var,15
110,Spatula One Side Flat S Ssize 5,Spatula One Side Flat S Ssize 5,12,pieces,so_pur_var,15
111,SPATULA SIZE 150MM,SPATULA SIZE 150MM,12,pieces,so_pur_var,15
112,Spatulan8 SS Micro,Spatulan8 SS Micro,12,pieces,so_pur_var,15
113,Spirit Lamp,Spirit Lamp,12,pieces,so_pur_var,15
114,Spreading Caliper,Spreading Caliper,1,pieces,so_pur_var,15
115,STERILE SINGLE LAYERED SYRINGE FILTER,STERILE SINGLE LAYERED SYRINGE FILTER,1,pieces,so_pur_var,15
116,"Storage Vial, 500 VialsPack","Storage Vial, 500 VialsPack",1,pieces,so_pur_var,15
117,Surgical Blade,Surgical Blade,2,pieces,so_pur_var,15
118,Surgical Blade holder,Surgical Blade holder,12,pieces,so_pur_var,15
119,SURGICAL DISPOSABLE Mask,SURGICAL DISPOSABLE Mask,12,pieces,so_pur_var,15
120,Surgical Disposable Mask 1Pk,Surgical Disposable Mask 1Pk,12,pieces,so_pur_var,15
121,Syringe filter Nylon 25Mm  022Um 100pk,Syringe filter Nylon 25Mm  022Um 100pk,1,pieces,so_pur_var,15
122,t Diam 30mm Ht 33mm,t Diam 30mm Ht 33mm,12,pieces,so_pur_var,15
123,TDiam 28mm Ht 31mm,TDiam 28mm Ht 31mm,12,pieces,so_pur_var,15
124,Tags Tough,Tags Tough,1,pieces,so_pur_var,15
125,Teflon Tap Champion Size ,Teflon Tap Champion Size ,12,pieces,so_pur_var,15
126,Test Tube Basket 230x230,Test Tube Basket 230x230,1,pieces,so_pur_var,15
127,TEST TUBE BASKETS 160MM,TEST TUBE BASKETS 160MM,1,pieces,so_pur_var,15
128,Test tube brushes,Test tube brushes,4,pieces,so_pur_var,15
129,Test tube holder,Test tube holder,4,pieces,so_pur_var,15
130,Test Tube Peg Rack 96 Places 4Pk,Test Tube Peg Rack 96 Places 4Pk,1,pieces,so_pur_var,15
131,Test Tube Rack 25D 40H,Test Tube Rack 25D 40H,4,pieces,so_pur_var,15
132,Test Tube Stand 13x90,Test Tube Stand 13x90,1,pieces,so_pur_var,15
133,Test Tube Stand 20 Places 4Pk,Test Tube Stand 20 Places 4Pk,1,pieces,so_pur_var,15
134,Test Tube Stand 3 tier polypropylene 25mm,Test Tube Stand 3 tier polypropylene 25mm,2,pieces,so_pur_var,15
135,TEST TUBE STAND 3TIER,TEST TUBE STAND 3TIER,2,pieces,so_pur_var,15
136,Tissue Paper,Tissue Paper,12,pieces,so_pur_var,15
137,Tongs SS,Tongs SS,12,pieces,so_pur_var,15
138,TRipod Stand,TRipod Stand,12,pieces,so_pur_var,15
139,TRipod Stand large,TRipod Stand large,12,pieces,so_pur_var,15
140,TRipod Stand plastic,TRipod Stand plastic,1,pieces,so_pur_var,15
141,Tweezers SS,Tweezers SS,12,pieces,so_pur_var,15
142,UNERSAL CLAMP,UNERSAL CLAMP,12,pieces,so_pur_var,15
143,Universal Combi Rack 4Pk,Universal Combi Rack 4Pk,1,pieces,so_pur_var,15
144,UNIVERSAL MICRO TIP BOX2200UL 10PK,UNIVERSAL MICRO TIP BOX2200UL 10PK,4,pieces,so_pur_var,15
145,UNIversal MICRO TIPBOX 02 10UL 10PK,UNIversal MICRO TIPBOX 02 10UL 10PK,4,pieces,so_pur_var,15
146,UNIVERSAL MICRO TIPS BOX 200100UL 10PK,UNIVERSAL MICRO TIPS BOX 200100UL 10PK,4,pieces,so_pur_var,15
147,UTILITY TRAY,UTILITY TRAY,12,pieces,so_pur_var,15
148,Wash Bottle New Type 500ml 6pK,Wash Bottle New Type 500ml 6pK,12,pieces,so_pur_var,15
149,Washing Bottles,Washing Bottles,12,pieces,so_pur_var,15
150,Waste Disposal Bags Plastic,Waste Disposal Bags Plastic,12,pieces,so_pur_var,15
151,Wire Mesh,Wire Mesh,12,pieces,so_pur_var,15
