Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
69,D DIMER I CHROMA KIT  25 TestperKit,D DIMER I CHROMA KIT  25 TestperKit,50,KIT,Buyerprocnagar,30
70,TSH I CHROMA  25 TestperKit,TSH I CHROMA  25 TestperKit,24,KIT,Buyerprocnagar,30
71,T 3 I CHROMA KIT  25 TestperKit,T 3 I CHROMA KIT  25 TestperKit,15,KIT,Buyerprocnagar,30
72,T 4 I CHROMA KIT  25 TestperKit,T 4 I CHROMA KIT  25 TestperKit,15,KIT,Buyerprocnagar,30
73,PSA I CHROMA KIT  25 TestperKit,PSA I CHROMA KIT  25 TestperKit,8,KIT,Buyerprocnagar,30
74,KIT RF I CHROMA  25 TestperKit,KIT RF I CHROMA  25 TestperKit,12,KIT,Buyerprocnagar,30
75,VIT D   I CHROMA  25 TestperKit,VIT D   I CHROMA  25 TestperKit,12,KIT,Buyerprocnagar,30
76,ASO KIT I CHROMA 25 TestperKit,ASO KIT I CHROMA 25 TestperKit,6,KIT,Buyerprocnagar,30
77,Anti CCP I CROMA 25 TestperKit,Anti CCP I CROMA 25 TestperKit,5,KIT,Buyerprocnagar,30
78,CKtoMB KIT I CHROMA 25 TestperKit,CKtoMB KIT I CHROMA 25 TestperKit,3,KIT,Buyerprocnagar,30
79,POTASSIUM ESTIMATION KIT ERBA,POTASSIUM ESTIMATION KIT ERBA,8,KIT,Buyerprocnagar,30
80,SODIUM ESTIMATION KIT ERBA,SODIUM ESTIMATION KIT ERBA,8,KIT,Buyerprocnagar,30
81,TISSUE PAPER ROLL  20m,TISSUE PAPER ROLL  20m,71,NO,Buyerprocnagar,30
82,DETTOL LIQ 5 LTR ,DETTOL LIQ 5 LTR ,2,CAN,Buyerprocnagar,30
83,OT  SPIRIT 25perc  500 ml,OT  SPIRIT 25perc  500 ml,10,Bott,Buyerprocnagar,30
84,Filter paper round,Filter paper round,2,pkt,Buyerprocnagar,30
85,DISPO SYRING 3 ML ,DISPO SYRING 3 ML ,600,NO,Buyerprocnagar,30
86,DISPO SYRING 2 ML ,DISPO SYRING 2 ML ,3000,NO,Buyerprocnagar,30
87,DISPO SYRING 5 ML ,DISPO SYRING 5 ML ,3900,NO,Buyerprocnagar,30
88,ASO KIT I ERBA 25 TestperKit,ASO KIT I ERBA 25 TestperKit,6,KIT,Buyerprocnagar,30
