Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
23,Supply and Fixing in repair hylam sheet 3 mm thick white in colour of size 120 mm x 170 mm including taking down. existing unserviceable complete all as specified and directed,Supply and Fixing in repair hylam sheet 3 mm thick white in colour of size 120 mm x 170 mm including taking down. existing unserviceable complete all as specified and directed,30,Each,gekkdaf,180
24,Supply and Fixing in repair hylam sheet 3 mm thick white in colour of size 230 mm x 280 mm including taking down existing unserviceable complete all as specified and directed.,Supply and Fixing in repair hylam sheet 3 mm thick white in colour of size 230 mm x 280 mm including taking down existing unserviceable complete all as specified and directed.,30,Each,gekkdaf,180
25,Supply and Fixing in repair hylam sheet 3 mm thick white in colour round type of size 80 mm dia including taking down existing unserviceable complete all as specified and directed,Supply and Fixing in repair hylam sheet 3 mm thick white in colour round type of size 80 mm dia including taking down existing unserviceable complete all as specified and directed,20,Each,gekkdaf,180
26,"Supply and Fixing in repair modular switch 1 way 6A, 1 Module complete all as specified and directed","Supply and Fixing in repair modular switch 1 way 6A, 1 Module complete all as specified and directed",100,Each,gekkdaf,180
27,"Supply and Fixing in repair modular switch 1 way 16A, 1 Module complete all as specified and directed","Supply and Fixing in repair modular switch 1 way 16A, 1 Module complete all as specified and directed",40,Each,gekkdaf,180
28,"Supply and Fixing in repair modular bell switch 1 way, 1 Module complete all as specified and directed","Supply and Fixing in repair modular bell switch 1 way, 1 Module complete all as specified and directed",10,Each,gekkdaf,180
29,Supply and Fixing in repair modular socket 6A 2 by 3 Pin combined -2 module,including repairing by replacement of whole modular fittings and frame with new one as per existing fittings complete all as specified and directed by EIC,50,Each,gekkdaf,180
30,"Supply and Fixing in repair modular switch socket combination 16A, 6 Pin combined -3 module",including repairing by replacement of whole modular fittings and frame with now one as per existing fittings complete all as specified and directed by EIC,50,Each,gekkdaf,180
31,"Supply and fixing in repair of stepped type Modular electronic fan regulator 1-module, 100 watt flush type,",on the existing hylam laminated sheet etc as required.complete all as specified and directed by EIC. including taking down old us,20,Each,gekkdaf,180
32,Supply and Fixing in repair Modular metal flush box of 1 by 2 module with white cover plate including make good to match with existing surface complete all as specified and directed by EIC,Supply and Fixing in repair Modular metal flush box of 1 by 2 module with white cover plate including make good to match with existing surface complete all as specified and directed by EIC,20,Each,gekkdaf,180
33,Supply and Fixing in repair Modular metal flush box of 3 module with white cover plate including make good to match with existing surface complete all as specified and directed by EIC,Supply and Fixing in repair Modular metal flush box of 3 module with white cover plate including make good to match with existing surface complete all as specified and directed by EIC,20,Each,gekkdaf,180
34,Supply and Fixing in repair Modular metal flush box of 4 module with white cover plate including,taking out uls including make good to match with existing surface complete all as specified and directed by EIC,20,Each,gekkdaf,180
35,Supply and Fixing in repair Modular metal flush box of 6 module with white cover plate, including taking out uls including make good to match with existing surface complete all as specified and directed by EIC,20,Each,gekkdaf,180
36,Material and labour for earthing complete with galvanized steel plate electrodes of size600x600x6mm thick,"burried directly in ground with earth pit not less than 2.25 meter deep below normal ground level with top edge of plate not less than 1.5 meter below normal ground level connected to galvanised wire 4.00 mm earth ead by means of nuts, bolts, checknuts and washers including 15 mm bore galvanized iron pipe, medium grade for protection of earth lead upto the length of 7.5 meter towards test terminal",8,Each,gekkdaf,180
37,"Supply and Fixing of LED wall light Bed side light fitting for study table including 3 watt LED, aluminium body,","including LED driver with on by off button switch flexible pipe with lamp head 360 degree rotating type, 220 Volts mounted on wall as per sample including connecting with PVC insulated multistranded copper flexible cable 0.5 sqmm three core, in casing capping and including taking connection from nearest socket by light point and light to be fixed by ounted on PVC rectangular box white colour complete all as specified & directed",50,Each,gekkdaf,180
38,Supply only inner container SS or as per sample suitable for vertical type geyser 50 Itrs storage capacity, including taking down of defective container as per OEMs specifications complete all as specified and directed,10,Each,gekkdaf,180
39,Supply only inner container SS or as per sample suitable for vertical type geyser 25 Itrs storage capacity, including taking down of defective container as per OEMs specifications complete all as specified and directed,20,Each,gekkdaf,180
