Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Drone Fleet and Hardware,Good Quaility,1,Nos,buyerlohit,30
2,Ground Control andSoftware,Good Quaility,1,Nos,buyerlohit,30
3,Logistics and Transport,Good Quaility,1,Nos,buyerlohit,30
4,Manpower and  Crew,Good Quaility,1,Nos,buyerlohit,30
5,Audio Visual and Effects,Good Quaility,1,Nos,buyerlohit,30
6,Marketing and Documentation,Good Quaility,1,Nos,buyerlohit,30
7,Contingency and Misc,Good Quaility,1,Nos,buyerlohit,30
