Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Deep Cleaning of Wash Rooms,HIRING OF  MISCELLANEOUS SERVICES TOWARDS AI PREPARATION AT INAS 313,40,Nos,LOGO.INAS313,45
2,Floor Cleaning of Office Spaces and In living Spaces,HIRING OF  MISCELLANEOUS SERVICES TOWARDS AI PREPARATION AT INAS 314,5000,Sq Mtr,LOGO.INAS313,45
3,Chemical Cleaning of Hanger Space,HIRING OF  MISCELLANEOUS SERVICES TOWARDS AI PREPARATION AT INAS 315,2000,Sq Mtr,LOGO.INAS313,45
4,Over Head Roof Cleaning of Technical Building  Admin Building  Wardroom  Building and Ranjit Block,HIRING OF  MISCELLANEOUS SERVICES TOWARDS AI PREPARATION AT INAS 316,4500,Sq Mtr,LOGO.INAS313,45
5,Rearrangement of Office Spaces,HIRING OF  MISCELLANEOUS SERVICES TOWARDS AI PREPARATION AT INAS 317,40,Nos,LOGO.INAS313,45
