Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Bib Tap PVC 15MM,Bib Tap PVC 15MM,198,Nos,BSOGESOUTH,45
2,Pillar Cock 15MM PVC,Pillar Cock 15MM PVC,59,Nos,BSOGESOUTH,45
3,MCB 63A 2P with 1PP 240V,MCB 63A 2P with 1PP 240V,19,Nos,BSOGESOUTH,45
4,MCB 63A TP,MCB 63A TP,16,Nos,BSOGESOUTH,45
5,Hot  cold wall mixer with L bend type,Hot cold wall mixer with L bend type,15,Nos,bsonda,45
