Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days),,,,,
42,Antiseptic Solution for Hand Hygiene bott contains Chlorhexidine Gluconate IP 0 point 5 Percentage wv Ethyl Alcohol IP 70 Percentage Bott of 500ml,Antiseptic Solution for Hand Hygiene bott contains Chlorhexidine Gluconate IP 0 point 5 Percentage wv Ethyl Alcohol IP 70 Percentage Bott of 500ml,10,Bott,gemjhansi2,30,,,,,
43,Mouth Mirror tops No 5 pkt of 12 pieces,Mouth Mirror tops No 5 pkt of 12 pieces,10,Pkt,gemjhansi2,30,,,,,
44,Glass Ionomer cement Type 1 Luting,Glass Ionomer cement Type 1 Luting,6,Pkt,gemjhansi2,30,,,,,
45,Inter dental brush narrow space pkt of 05,Inter dental brush narrow space pkt of 05,50,Pkt,gemjhansi2,30,,,,,
46,Mucopain gel contains Benzocaine IP 20 Percentage in watermiscible base tube of 15 g,Mucopain gel contains Benzocaine IP 20 Percentage in watermiscible base tube of 15 g,200,Bott,gemjhansi2,30,,,,,
47,Metapex Calcium Hydroxide with Iodoform Root Canal filling material,Metapex Calcium Hydroxide with Iodoform Root Canal filling material,4,Pkt,gemjhansi2,30,,,,,
48,K files size 06 length 21mm set of 06,K files size 06 length 21mm set of 06,10,Set,gemjhansi2,30,,,,,
49,K files size 08 length 21mm set of 06,K files size 08 length 21mm set of 06,10,Set,gemjhansi2,30,,,,,
50,K files size 10 length 21mm set of 06,K files size 10 length 21mm set of 06,10,Set,gemjhansi2,30,,,,,
51,Handpiece Lubricating spray Bott contains 500ml,Handpiece Lubricating spray Bott contains 500ml,6,Bott,gemjhansi2,30,,,,,
52,Temporary filling material contains Eugenol based pkt of 40gm,Temporary filling material contains Eugenol based pkt of 40gm,10,Pkt,gemjhansi2,30,,,,,
53,Light cured Pit and Fissure sealant Pkt contains 02 tubes,Light cured Pit and Fissure sealant Pkt contains 02 tubes,5,Pkt,gemjhansi2,30,,,,,
54,Nitrile Gloves medium Pkt of 100,Nitrile Gloves medium Pkt of 100,50,Pkt,gemjhansi2,30,,,,,
55,Savlon Antiseptic Disinfectant liquid Bott of 1L,Savlon Antiseptic Disinfectant liquid Bott of 1L,8,Bott,gemjhansi2,30,,,,,
56,Articulating Paper pkt contains 10 sheets,Articulating Paper pkt contains 10 sheets,15,Pkt,gemjhansi2,30,,,,,
57,BP Blade No 15 Pkt contains 100 Pcs,BP Blade No 15 Pkt contains 100 Pcs,3,Pkt,gemjhansi2,30,,,,,
58,BP Blade No 12 Pkt contains 100 Pcs,BP Blade No 12 Pkt contains 100 Pcs,2,Pkt,gemjhansi2,30,,,,,
59,Haemostatic Gelatin Sponge USP contains 32 sterile Sponges,Haemostatic Gelatin Sponge USP contains 32 sterile Sponges,10,Pkt,gemjhansi2,30,,,,,
60,Desensitizing Tooth Paste tube of 50g with Potassium nitrate 5 Percentage ww Sodium monofluorophosphate USP 0 point 7 Percentage,Desensitizing Tooth Paste tube of 50g with Potassium nitrate 5 Percentage ww Sodium monofluorophosphate USP 0 point 7 Percentage,650,Tube,gemjhansi2,30,,,,,
61,K files size 06 length 25mm set of 06,K files size 06 length 25mm set of 06,5,Set,gemjhansi2,30,,,,,
62,K files size 08 length 25mm set of 06,K files size 08 length 25mm set of 06,5,Set,gemjhansi2,30,,,,,
63,K files size 10 length 25mm set of 06,K files size 10 length 25mm set of 06,5,Set,gemjhansi2,30,,,,,
64,Disposable Surgical Bouffant Head Caps pkt of 100,Disposable Surgical Bouffant Head Caps pkt of 100,3,Pkt,gemjhansi2,30,,,,, 
65,Neo Endo Endodontic NiTi rotary flex files length 21 mm Taper 4 Percentage and 6 Percentage Set of 6,Neo Endo Endodontic NiTi rotary flex files length 21 mm Taper 4 Percentage and 6 Percentage Set of 6,15,Set,gemjhansi2,30,,,,,
66,Neo Endo Endodontic NiTi rotary flex files length 25 mm Taper 4 Percentage and 6 Percentage Set of 6,Neo Endo Endodontic NiTi rotary flex files length 25 mm Taper 4 Percentage and 6 Percentage Set of 6,15,Set,gemjhansi2,30,,,,,  
67,Non Woven sponges 2 x 2 inch 4 ply Pkt contains 200pcs,Non Woven sponges 2 x 2 inch 4 ply Pkt contains 200pcs,20,Pkt,gemjhansi2,30,,,,,
68,RVG Sensor sleeves,RVG Sensor sleeves,6,Pkt,gemjhansi2,30,,,,,
69,Spreader size 20 length 21mm pkt of 06,Spreader size 20 length 21mm pkt of 06,4,Pkt,gemjhansi2,30,,,,,
70,Spreader size 25 length 21mm pkt of 06,Spreader size 25 length 21mm pkt of 06,4,Pkt,gemjhansi2,30,,,,,
71,0 point 2 Percentage Chlorhexidine mouth wash bott of 80 ml,0 point 2 Percentage Chlorhexidine mouth wash bott of 80 ml,500,Bott,gemjhansi2,30,,,,,
72,Light Cured Universal Nano Hybrid Composite Kit,Light Cured Universal Nano Hybrid Composite Kit,6,Kit,gemjhansi2,30,,,,,
73,GP Points 4 Percentage size 20,GP Points 4 Percentage size 20,4,Pkt,gemjhansi2,30,,,,,
74,GP Points 4 Percentage size 25,GP Points 4 Percentage size 25,4,Pkt,gemjhansi2,30,,,,,
75,GP Points 6 Percentage size 20,GP Points 6 Percentage size 20,4,Pkt,gemjhansi2,30,,,,,
76,GP Points 6 Percentage size 25,GP Points 6 Percentage size 25,4,Pkt,gemjhansi2,30,,,,,
