Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,M3 6685-000156 GAUGE PRESSURE NO 16 MK 1,M3 6685-000156 GAUGE PRESSURE NO 16 MK 1,102,NOS,kvsingh@224abod,90
2,B1 1005-008259 COVER GUN MUZZLE,B1 1005-008259 COVER GUN MUZZLE,2236,NOS,kvsingh@224abod,90
3,V3 8345-000481 FLAG BEACON CENDEREOL DARK BLUE AND YEL,V3 8345-000481 FLAG BEACON CENDEREOL DARK BLUE AND YEL,363,NOS,kvsingh@224abod,90
4,Y3 5970-001940 SLEEVE INSULATION ELECTRICAL JOINTING 15,Y3 5970-001940 SLEEVE INSULATION ELECTRICAL JOINTING 15,288,MTR,kvsingh@224abod,90
5,B2 4933-000169 POT TOOL CLEANING TIN PLATE WITH HANDLE,B2 4933-000169 POT TOOL CLEANING TIN PLATE WITH HANDLE,165,NOS,kvsingh@224abod,90
