Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,Zig- zag cotton roll - 500 gm ,Check Complinace specifications document for complete specifications ,1105,Each per piece ,centralstores.aiimsbibinagar,45
2,Paraffin gauze -10cm x 30cm,Check Complinace specifications document for complete specifications ,2103,Pack ,centralstores.aiimsbibinagar,45
3,Sterile Guaze Pad -10 cm x 10cm,Check Complinace specifications document for complete specifications ,3618,Each per piece ,centralstores.aiimsbibinagar,45
4,Sterile Guaze Pad -20 cm x 10cm,Check Complinace specifications document for complete specifications ,5361,Each per piece ,centralstores.aiimsbibinagar,45
5,Sterile Gauze piece -10 x10 cm ,Check Complinace specifications document for complete specifications ,784,Pack of 5 Pieces ,centralstores.aiimsbibinagar,45
