Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,M Sand 1200 Cubic Ft,As per specification,4,pieces,PTOGRC,30
2,Pit Sand 1200 Cubic Ft,As per specification,3,pieces,PTOGRC,30
3,Ballast Gitti 800 Cubic Ft,As per specification,5,pieces,PTOGRC,30
4,Ash Bricks 9 inch x 4.5 inch x 3 inch,As per specification,7500,pieces,PTOGRC,30
5,Cement Bags,As per specification,85,pieces,PTOGRC,30
6,TMT Bars in Kgs,As per specification,250,Kgs,PTOGRC,30
7,Labour Charge,As per specification,1,Job,PTOGRC,30
