Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
1,F1 5110-000707 TOOLS SETS RIVETTING NO 12,F1 5110-000707 TOOLS SETS RIVETTING NO 12,46,NOS,kvsingh@224abod,90
2,F1 5120-000698 TONGS SMITHS FLAT 480 MM,F1 5120-000698 TONGS SMITHS FLAT 480 MM,17,NOS,kvsingh@224abod,90
3,J1 KND NIV CAMP 71 TEFS 2M UNIT W MILD STEEL JT FLOORING,J1 KND/NIV/CAMP/71 TEFS 2M UNIT W MILD STEEL JT FLOORING,102,NOS,kvsingh@224abod,90
4,J1 8340-000589 PAULIN TARPOLIN 9 M X6 M,J1 8340-000589 PAULIN TARPOLIN 9 M X6 M,11,NOS,kvsingh@224abod,90
5,J1 8340-001117 FOUR WAY JOINT FOR TENT EXTNDBL F SUPPTD,J1 8340-001117 FOUR WAY JOINT FOR TENT EXTNDBL F SUPPTD,331,NOS,kvsingh@224abod,90
