Item Number,Item Title,Item Description,Item Quantity,Unit of Measure,Consignee ID,Delivery Period (In number of days)
70,Glycopyrrolate 0POINT2 mgperml  1ml Inj,Glycopyrrolate 0POINT2 mgperml  1ml Inj,125,Amp,quartermastermhahmednagar,30
71,Ketamine HCl 50 mgperml  2 ml Inj,Ketamine HCl 50 mgperml  2 ml Inj,125,Amp,quartermastermhahmednagar,30
72,Thiopentone Inj of 0POINT5 g without water ,Thiopentone Inj of 0POINT5 g without water ,125,Amp,quartermastermhahmednagar,30
73,Propofol 1PERCNT or 10mgperml  20 ml Inj,Propofol 1PERCNT or 10mgperml  20 ml Inj,125,Amp,quartermastermhahmednagar,30
74,Succinylchloline Chloride 50 mgperml 2 ml Inj,Succinylchloline Chloride 50 mgperml 2 ml Inj,125,Amp,quartermastermhahmednagar,30
75,Atracurium 10 mgperml  2POINT5 ml Inj,Atracurium 10 mgperml  2POINT5 ml Inj,125,Amp,quartermastermhahmednagar,30
76,Vecuronium Bromide  4mgperml  1 ml Inj,Vecuronium Bromide  4mgperml  1 ml Inj,125,Amp,quartermastermhahmednagar,30
77,Neostigmine 0POINT5 mg  1 ml Inj,Neostigmine 0POINT5 mg  1 ml Inj,120,Amp,quartermastermhahmednagar,30
78,Fentanyl Citrate 50mcgperml  2 ml Inj,Fentanyl Citrate 50mcgperml  2 ml Inj,125,Amp,quartermastermhahmednagar,30
79,Sevoflurane Bottle of 250 ml,Sevoflurane Bottle of 250 ml,25,Bott,quartermastermhahmednagar,30
80,Esmolol 100 mg  10 ml Inj,Esmolol 100 mg  10 ml Inj,40,Amp,quartermastermhahmednagar,30
81,Metoprolol 1 mgperml  5 ml Inj,Metoprolol 1 mgperml  5 ml Inj,40,Amp,quartermastermhahmednagar,30
82,Labetalol HCl  5mgperml  4ml Inj,Labetalol HCl  5mgperml  4ml Inj,40,Amp,quartermastermhahmednagar,30
83,Dopamine HCl 40 mgperml  5ml Inj,Dopamine HCl 40 mgperml  5ml Inj,40,Amp,quartermastermhahmednagar,30
84,Dobutamine HCl 250 mg  5 ml Inj,Dobutamine HCl 250 mg  5 ml Inj,50,Amp,quartermastermhahmednagar,30
85,Inj Nitroglycerine Glycerinitrate 5mgperml,Inj Nitroglycerine Glycerinitrate 5mgperml,40,Amp,quartermastermhahmednagar,30
86,Calcium 9mgCalcium gluconate 50 mg for IV use10 ml Inj,Calcium 9mgCalcium gluconate 50 mg for IV use10 ml Inj,45,Amp,quartermastermhahmednagar,30
87,Sodium Bicarbonate 7POINT5PERCNT amp of 10 ml,Sodium Bicarbonate 7POINT5PERCNT amp of 10 ml,70,Amp,quartermastermhahmednagar,30
88,KCl 15PERCNT Inj IVamp of 10 ml  1POINT5gm ,KCl 15PERCNT Inj IVamp of 10 ml  1POINT5gm ,65,Amp,quartermastermhahmednagar,30
89,ApparAnaestheticface maskAntistaticwithaircushionsize3adult with valve,ApparAnaestheticface maskAntistaticwithaircushionsize3adult with valve,70,No,quartermastermhahmednagar,30
90,ApparAnaestheticfac maskAntistaticwitaircushionsize 4,ApparAnaestheticfac maskAntistaticwitaircushionsize 4,70,No,quartermastermhahmednagar,30
91,SupraglolticdevicwithnoninflatablecuffANDgastricdrainport igelsize 3 4AND5,SupraglolticdevicwithnoninflatablecuffANDgastricdrainport igelsize 3 4AND5,25,No,quartermastermhahmednagar,30
92,Tube Endo tracheal nasal size 6POINT5 with cuff,Tube Endo tracheal nasal size 6POINT5 with cuff,40,No,quartermastermhahmednagar,30
93,Tube Endo tracheal nasal size 7POINT0 with cuff,Tube Endo tracheal nasal size 7POINT0 with cuff,40,No,quartermastermhahmednagar,30
94,Tube Endo tracheal nasal size 7POINT5 with cuff,Tube Endo tracheal nasal size 7POINT5 with cuff,40,No,quartermastermhahmednagar,30
95,Tube Endo tracheal nasal size 8POINT0 with cuff,Tube Endo tracheal nasal size 8POINT0 with cuff,35,No,quartermastermhahmednagar,30
96,AirwayguedelrubberPVCall sizes Infant  Paediatric AND Adult ,AirwayguedelrubberPVCall sizes Infant  Paediatric AND Adult ,40,No,quartermastermhahmednagar,30
97,Patient circuiut  adultandPaed ,Patient circuiut  adultandPaed ,50,No,quartermastermhahmednagar,30
98,Mepleson non rebreathing system  Brain Circuit ,Mepleson non rebreathing system  Brain Circuit ,40,No,quartermastermhahmednagar,30
99,Tbe Endo tracheal armoured stylet for,Tbe Endo tracheal armoured stylet for,30,No,quartermastermhahmednagar,30
100,Syringe disposable  plastic  sterile  5 ml with needle,Syringe disposable  plastic  sterile  5 ml with needle,225,No,quartermastermhahmednagar,30
101,Syringe dosposable  plastic sterile 10 ml with needle,Syringe dosposable  plastic sterile 10 ml with needle,225,No,quartermastermhahmednagar,30
102,High pressure 3 way stop cock connector rsted to 1000 psitor more,High pressure 3 way stop cock connector rsted to 1000 psitor more,70,No,quartermastermhahmednagar,30
103,Extension tubing with 3 way stop cock 10 cms in length,Extension tubing with 3 way stop cock 10 cms in length,55,No,quartermastermhahmednagar,30
104,Needle spinal Anaesthesia with luer lock fitting with styllet 25G  SS ,Needle spinal Anaesthesia with luer lock fitting with styllet 25G  SS ,27,No,quartermastermhahmednagar,30
105,Needle spinal Anaesthesia with luer lock fitting with styllet  24G  SS ,Needle spinal Anaesthesia with luer lock fitting with styllet  24G  SS ,27,No,quartermastermhahmednagar,30
106,Combined  Epidural spinal sets,Combined  Epidural spinal sets,22,No,quartermastermhahmednagar,30
107,Central Venous Catheter,Central Venous Catheter,60,No,quartermastermhahmednagar,30
108,Anaesthesia Kit ,Anaesthesia Kit ,50,No,quartermastermhahmednagar,30
109,HME Filter,HME Filter,50,No,quartermastermhahmednagar,30
110,Tube Endo tracheal Catherter Mount,Tube Endo tracheal Catherter Mount,45,No,quartermastermhahmednagar,30
111,ECG Electrodes  Disposable ,ECG Electrodes  Disposable ,600,No,quartermastermhahmednagar,30
